2016-06-13 21:48:55 DEBUG App:16 - 192.249.22.112
2016-06-13 21:48:55 DEBUG App:17 - DESKTOP-5KU4EBA
2016-06-13 21:48:55 DEBUG App:18 - Windows 10
2016-06-13 21:48:55 DEBUG App:19 - kimauk
2016-06-13 21:48:56 DEBUG App:27 - "이미지 이름","PID","세션 이름","세션#","메모리 사용"
2016-06-13 21:48:56 DEBUG App:27 - "csrss.exe","9428","Console","9","13,076 K"
2016-06-13 21:48:56 DEBUG App:27 - "dwm.exe","10036","Console","9","67,684 K"
2016-06-13 21:48:56 DEBUG App:27 - "nvxdsync.exe","9592","Console","9","20,404 K"
2016-06-13 21:48:56 DEBUG App:27 - "nvvsvc.exe","6096","Console","9","15,696 K"
2016-06-13 21:48:56 DEBUG App:27 - "taskhostw.exe","12036","Console","9","17,972 K"
2016-06-13 21:48:56 DEBUG App:27 - "explorer.exe","6532","Console","9","124,648 K"
2016-06-13 21:48:56 DEBUG App:27 - "igfxEM.exe","6552","Console","9","14,204 K"
2016-06-13 21:48:56 DEBUG App:27 - "igfxTray.exe","7384","Console","9","12,852 K"
2016-06-13 21:48:56 DEBUG App:27 - "RuntimeBroker.exe","3240","Console","9","53,828 K"
2016-06-13 21:48:56 DEBUG App:27 - "ShellExperienceHost.exe","2204","Console","9","70,320 K"
2016-06-13 21:48:56 DEBUG App:27 - "delfino.exe","10016","Console","9","27,996 K"
2016-06-13 21:48:56 DEBUG App:27 - "veraport.exe","3468","Console","9","13,468 K"
2016-06-13 21:48:56 DEBUG App:27 - "SearchUI.exe","6332","Console","9","115,400 K"
2016-06-13 21:48:56 DEBUG App:27 - "rundll32.exe","5332","Console","9","8,364 K"
2016-06-13 21:48:56 DEBUG App:27 - "nosstarter.npe","2356","Console","9","5,544 K"
2016-06-13 21:48:56 DEBUG App:27 - "AnySign4PC.exe","1760","Console","9","23,280 K"
2016-06-13 21:48:56 DEBUG App:27 - "RAVBg64.exe","9576","Console","9","14,312 K"
2016-06-13 21:48:56 DEBUG App:27 - "RAVBg64.exe","7228","Console","9","13,668 K"
2016-06-13 21:48:56 DEBUG App:27 - "TabTip.exe","11556","Console","9","13,120 K"
2016-06-13 21:48:56 DEBUG App:27 - "chrome.exe","1408","Console","9","249,668 K"
2016-06-13 21:48:56 DEBUG App:27 - "SettingSyncHost.exe","9696","Console","9","21,880 K"
2016-06-13 21:48:56 DEBUG App:27 - "rundll32.exe","1176","Console","9","8,564 K"
2016-06-13 21:48:56 DEBUG App:27 - "rundll32.exe","5184","Console","9","6,212 K"
2016-06-13 21:48:56 DEBUG App:27 - "chrome.exe","4468","Console","9","57,352 K"
2016-06-13 21:48:56 DEBUG App:27 - "fph.exe","12436","Console","9","13,184 K"
2016-06-13 21:48:56 DEBUG App:27 - "fph.exe","7464","Console","9","9,952 K"
2016-06-13 21:48:56 DEBUG App:27 - "RtkNGUI64.exe","6700","Console","9","32,388 K"
2016-06-13 21:48:56 DEBUG App:27 - "RAVBg64.exe","1244","Console","9","13,996 K"
2016-06-13 21:48:56 DEBUG App:27 - "SynTPEnh.exe","10872","Console","9","20,472 K"
2016-06-13 21:48:56 DEBUG App:27 - "SynTPHelper.exe","11212","Console","9","6,540 K"
2016-06-13 21:48:56 DEBUG App:27 - "CDASrv.exe","4644","Console","9","12,160 K"
2016-06-13 21:48:56 DEBUG App:27 - "OneDrive.exe","4548","Console","9","30,604 K"
2016-06-13 21:48:56 DEBUG App:27 - "KakaoTalk.exe","2804","Console","9","79,856 K"
2016-06-13 21:48:56 DEBUG App:27 - "StSess.exe","8160","Console","9","5,504 K"
2016-06-13 21:48:56 DEBUG App:27 - "iCloudServices.exe","12452","Console","9","97,332 K"
2016-06-13 21:48:56 DEBUG App:27 - "StSess32.exe","8256","Console","9","3,608 K"
2016-06-13 21:48:56 DEBUG App:27 - "iCloudPhotos.exe","4384","Console","9","37,280 K"
2016-06-13 21:48:56 DEBUG App:27 - "APSDaemon.exe","4560","Console","9","17,092 K"
2016-06-13 21:48:56 DEBUG App:27 - "secd.exe","5400","Console","9","42,624 K"
2016-06-13 21:48:56 DEBUG App:27 - "CSISYN~1.EXE","3512","Console","9","34,924 K"
2016-06-13 21:48:56 DEBUG App:27 - "iCloudDrive.exe","9668","Console","9","33,028 K"
2016-06-13 21:48:56 DEBUG App:27 - "NetFaxTray64.exe","11648","Console","9","11,912 K"
2016-06-13 21:48:56 DEBUG App:27 - "EvernoteClipper.exe","10024","Console","9","14,880 K"
2016-06-13 21:48:56 DEBUG App:27 - "Dropbox.exe","10096","Console","9","158,464 K"
2016-06-13 21:48:56 DEBUG App:27 - "IAStorIcon.exe","11260","Console","9","33,376 K"
2016-06-13 21:48:56 DEBUG App:27 - "eclipse.exe","8768","Console","9","919,144 K"
2016-06-13 21:48:56 DEBUG App:27 - "explorer.exe","7772","Console","9","49,272 K"
2016-06-13 21:48:56 DEBUG App:27 - "ApplicationFrameHost.exe","8828","Console","9","30,400 K"
2016-06-13 21:48:56 DEBUG App:27 - "Microsoft.Photos.exe","9228","Console","9","63,204 K"
2016-06-13 21:48:56 DEBUG App:27 - "SystemSettings.exe","13216","Console","9","40,652 K"
